&&DNN&&&CRNN&&1d-CNN&&&CNN-M&\\\hline
&&Mel Spec&MFCC&Spec&Mel Spec&Spec&Mel Spec&MFCC&Spec&Mel Spec&Spec\\\hline
Banten&Precision&81\%&100\%&59\%&84\%&92\%&89\%&100\%&100\%&97\%&97\%\\\hline
&Recall&86\%&15\%&84\%&95\%&100\%&93\%&100\%&97\%&98\%&100\%\\\hline
Banyumas&Precision&84\%&51\%&75\%&81\%&96\%&95\%&99\%&96\%&98\%&100\%\\\hline
&Recall&81\%&75\%&52\%&88\%&91\%&82\%&100\%&99\%&98\%&95\%\\\hline
Cirebon&Precision&76\%&95\%&85\%&84\%&99\%&85\%&99\%&100\%&98\%&98\%\\\hline
&Recall&89\%&68\%&73\%&93\%&96\%&95\%&100\%&97\%&99\%&99\%\\\hline
Kediri&Precision&100\%&0\%&67\%&92\%&100\%&92\%&100\%&100\%&100\%&100\%\\\hline
&Recall&27\%&0\%&15\%&100\%&92\%&100\%&100\%&100\%&100\%&100\%\\\hline
Lumajang&Precision&80\%&100\%&76\%&100\%&98\%&96\%&100\%&98\%&100\%&98\%\\\hline
&Recall&67\%&17\%&53\%&63\%&84\%&85\%&100\%&100\%&96\%&100\%\\\hline
Madiun&Precision&85\%&71\%&36\%&100\%&85\%&94\%&100\%&100\%&90\%&91\%\\\hline
&Recall&74\%&31\%&46\%&67\%&98\%&87\%&100\%&100\%&97\%&100\%\\\hline
Malang&Precision&84\%&17\%&65\%&80\%&85\%&87\%&99\%&83\%&99\%&99\%\\\hline
&Recall&69\%&96\%&29\%&60\%&95\%&70\%&95\%&98\%&97\%&94\%\\\hline
Ngadas&Precision&80\%&100\%&0\%&56\%&98\%&32\%&100\%&87\%&100\%&98\%\\\hline
&Recall&83\%&3\%&0\%&33\%&87\%&86\%&92\%&98\%&71\%&91\%\\\hline
Osing&Precision&94\%&81\%&100\%&92\%&100\%&97\%&100\%&100\%&100\%&100\%\\\hline
&Recall&79\%&42\%&66\%&92\%&97\%&97\%&97\%&97\%&100\%&100\%\\\hline
Papua&Precision&98\%&76\%&60\%&94\%&98\%&96\%&99\%&98\%&100\%&100\%\\\hline
&Recall&73\%&49\%&64\%&79\%&91\%&89\%&100\%&100\%&98\%&98\%\\\hline
Pemalang&Precision&85\%&49\%&75\%&92\%&91\%&93\%&100\%&97\%&99\%&99\%\\\hline
&Recall&82\%&94\%&62\%&73\%&97\%&92\%&100\%&99\%&95\%&98\%\\\hline
Ranu Pane&Precision&91\%&92\%&63\%&88\%&94\%&94\%&98\%&99\%&96\%&96\%\\\hline
&Recall&83\%&73\%&89\%&94\%&98\%&71\%&100\%&97\%&100\%&99\%\\\hline
Semarang&Precision&83\%&99\%&65\%&99\%&100\%&100\%&100\%&100\%&99\%&100\%\\\hline
&Recall&90\%&46\%&85\%&98\%&96\%&95\%&100\%&100\%&100\%&100\%\\\hline
Solo&Precision&85\%&78\%&72\%&91\%&100\%&86\%&100\%&100\%&99\%&98\%\\\hline
&Recall&83\%&80\%&67\%&82\%&91\%&95\%&100\%&94\%&99\%&99\%\\\hline
Tegal&Precision&91\%&100\%&60\%&87\%&100\%&94\%&100\%&96\%&97\%&100\%\\\hline
&Recall&66\%&12\%&21\%&84\%&95\%&94\%&100\%&100\%&94\%&100\%\\\hline
Tengger&Precision&100\%&0\%&0\%&100\%&100\%&100\%&100\%&100\%&88\%&100\%\\\hline
&Recall&14\%&0\%&0\%&71\%&100\%&86\%&100\%&100\%&100\%&100\%\\\hline
