➜ ./get_waveform.py
Processing Solo - Endang12B.wav; Saving plot... Done! (1.6891260147094727)
Processing Solo - Endang3A.wav; Saving plot... Done! (1.734119176864624)
Processing Solo - Endang3B.wav; Saving plot... Done! (1.9221434593200684)
Processing Solo - Endang5A.wav; Saving plot... Done! (1.6087415218353271)
Processing Solo - Dibyo4B.wav; Saving plot... Done! (1.6581637859344482)
Processing Solo - Dibyo2A.wav; Saving plot... Done! (2.103900194168091)
Processing Solo - Endang1A.wav; Saving plot... Done! (1.6636512279510498)
Processing Solo - Endang11A.wav; Saving plot... Done! (1.6339638233184814)
Processing Pemalang - PEM-120402.wav; Saving plot... Done! (1.7279448509216309)
Processing Pemalang - PEM-030204.wav; Saving plot... Done! (1.4959204196929932)
Processing Pemalang - PEM-130402.wav; Saving plot... Done! (2.272792100906372)
Processing Pemalang - PEM-March02.wav; Saving plot... Done! (1.387716293334961)
Processing Pemalang - PEM-260305-Yudi_A.wav; Saving plot... Done! (0.7960205078125)
Processing Pemalang - PEM-040204.wav; Saving plot... Done! (2.403275728225708)
Processing Pemalang - PEM-260305-Gudang_A.wav; Saving plot... Done! (1.9443919658660889)
Processing Pemalang - PEM-260305-Yudi_B.wav; Saving plot... Done! (1.8964362144470215)
Processing Pemalang - PEM-260305-Gudang_B.wav; Saving plot... Done! (0.7518484592437744)
Processing Cirebon - JWC-20090315.wav; Saving plot... Done! (3.168537139892578)
Processing Cirebon - JWC-20090306.wav; Saving plot... Done! (7.249528884887695)
Processing Cirebon - JWC-20090225.wav; Saving plot... Done! (3.1694273948669434)
Processing Cirebon - JWC-20090311.wav; Saving plot... Done! (2.612234592437744)
Processing Cirebon - sejarah_Bungko_I_and_II.wav; Saving plot... Done! (2.5180041790008545)
Processing Cirebon - JWC-20090316.wav; Saving plot... Done! (2.289982318878174)
Processing Cirebon - Bodoran_Topeng.wav; Saving plot... Done! (1.9414010047912598)
Processing Cirebon - JWC-20080927.wav; Saving plot... Done! (2.45953369140625)
Processing Cirebon - JWC-20090322.wav; Saving plot... Done! (4.831567287445068)
Processing Cirebon - JWC-20090307.wav; Saving plot... Done! (6.861443281173706)
Processing Cirebon - JWC-20090303.wav; Saving plot... Done! (5.989194869995117)
Processing Cirebon - mang_sangid.wav; Saving plot... Done! (2.004210948944092)
Processing Cirebon - JWC-20080918.wav; Saving plot... Done! (2.2755701541900635)
Processing Cirebon - sejarah_Bungko_III.wav; Saving plot... Done! (1.7224628925323486)
Processing Kediri - JEK-20070311.wav; Saving plot... Done! (1.5954835414886475)
Processing Malang - JEM-20030613-F.wav; Saving plot... Done! (0.6514146327972412)
Processing Malang - JEM-20030613-A-edit2.wav; Saving plot... Done! (1.0413281917572021)
Processing Malang - JEM-WAL-20051230.wav; Saving plot... Done! (1.519019603729248)
Processing Malang - JEM-20030613-B.wav; Saving plot... Done! (0.6579809188842773)
Processing Malang - JEM-20030613-G.wav; Saving plot... Done! (1.2092602252960205)
Processing Malang - JEM-20100409.wav; Saving plot... Done! (1.6726536750793457)
Processing Malang - JEM-WAL-20070205.wav; Saving plot... Done! (1.1901845932006836)
Processing Malang - JEM-20030613-A.wav; Saving plot... Done! (1.481736660003662)
Processing Malang - JEM-20030613-C.wav; Saving plot... Done! (1.3959307670593262)
Processing Malang - JEM-20030613-A-edit.wav; Saving plot... Done! (1.4993412494659424)
Processing Malang - JEM-20030613-D.wav; Saving plot... Done! (1.4318699836730957)
Processing Malang - JEM-20030613-E.wav; Saving plot... Done! (1.3009059429168701)
Processing Osing - JEO-20070129.wav; Saving plot... Done! (1.0020978450775146)
Processing Osing - JEO-20070321.wav; Saving plot... Done! (1.993941068649292)
Processing Ranu Pane - JETR-2002-B.wav; Saving plot... Done! (2.0246126651763916)
Processing Ranu Pane - JETR-2002-C.wav; Saving plot... Done! (3.508281707763672)
Processing Ranu Pane - JETR-2002-A.wav; Saving plot... Done! (1.480614423751831)
Processing Ranu Pane - JETR-2002-DE.wav; Saving plot... Done! (4.381271600723267)
Done!
